,Course,Description,Image,Instructor,Link,Price,Provider,Subject
168,American civics,What is the Electoral College? How does Social Security work? Learn the answers to these questions and more in American civics. ,https://cdn.kastatic.org/genfiles/topic-icons/icons/american_civics.jpg-ca5a0f-128c.jpeg,None,https://www.khanacademy.org/humanities/us-history/american-civics-parent,Free,Khan Academy,us history
169,Surveys of history,The tutorials in this topic will take you on sweeping journeys through time so that you can get the really BIG picture for how things fit together.,https://cdn.kastatic.org/genfiles/topic-icons/icons/surveys_of_history.jpg-8d440c-128c.jpeg,None,https://www.khanacademy.org/humanities/us-history/history-survey,Free,Khan Academy,us history
170,Beginnings - 600 BCE,Where did humans come from and how did those early communities function? How did the advent of agriculture change human society (neolithic revolution)?,https://cdn.kastatic.org/genfiles/topic-icons/icons/humanities.jpg-9fb720-128c.jpeg,None,https://www.khanacademy.org/humanities/world-history/world-history-beginnings,Free,Khan Academy,world history
171,600 BCE - 600 CE Second-Wave Civilizations,"This period lays the foundation for much of civilization as we know it today. The classical Greeks lay the cultural foundation for Western civilization. The Achaemenid Persians under Cyrus unify much of the Middle East and Egypt. Alexander the Great unifies Greece with Persia. Later, the Roman Empire dominates the Mediterranean and Europe.",https://cdn.kastatic.org/genfiles/topic-icons/icons/ancient_medieval.jpg-aae6c3-128c.jpeg,None,https://www.khanacademy.org/humanities/world-history/ancient-medieval,Free,Khan Academy,world history
172,600 - 1450 Regional and interregional interactions ,"The development and expansion of Islam spurs greater cross-cultural interactions with Europe, Africa, and Asia. State-building in China. Migrations in Africa and the Pacific. Human movement spreads knowledge, goods, and disease.   ",https://cdn.kastatic.org/genfiles/topic-icons/icons/medieval_book.jpg-6efb3d-128c.jpeg,None,https://www.khanacademy.org/humanities/world-history/medieval-times,Free,Khan Academy,world history
173,1450 - 1750 Renaissance and Reformation,A tutorial about the Protestant Reformation,https://cdn.kastatic.org/genfiles/topic-icons/icons/high_ren_florence_rome.jpg-bd9aeb-128c.jpeg,None,https://www.khanacademy.org/humanities/world-history/renaissance-and-reformation,Free,Khan Academy,world history
174,1750 -1900 Enlightenment and Revolution,"Do we need kings?  Can people govern themselves?  What rights do we all have?  Can science and understanding uplift all of humanity?

This topic lays the foundation for our modern thinking about the world.  From democratic revolutions to the establishment of empires backed by industrial power.",https://cdn.kastatic.org/genfiles/topic-icons/icons/s1700_1900.jpg-31031d-128c.jpeg,None,https://www.khanacademy.org/humanities/world-history/1600s-1800s,Free,Khan Academy,world history
175,The 20th century ,You cannot properly understand current world events without understanding the history of the 20th Century. This topic takes us on a journey from the end of Imperialism through two world wars and the Cold War and brings us to our modern world.,https://cdn.kastatic.org/genfiles/topic-icons/icons/s1900_present.jpg-a88f48-128c.jpeg,None,https://www.khanacademy.org/humanities/world-history/euro-hist,Free,Khan Academy,world history
176,Special topics in art history,,https://cdn.kastatic.org/genfiles/topic-icons/icons/humanities.jpg-9fb720-128c.jpeg,None,https://www.khanacademy.org/humanities/special-topics-art-history,Free,Khan Academy,art history
177,Art history basics,"Brought to you by Smarthistory. We understand the history of humanity through art. From prehistoric depictions of woolly mammoths to contemporary abstraction, artists have addressed their time and place in history and have expressed universal human truths for tens of thousands of years. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/art_history_basics.jpg-5e54a9-128c.jpeg,None,https://www.khanacademy.org/humanities/art-history-basics,Free,Khan Academy,art history
178,Prehistoric art in Europe and West Asia,"Brought to you by Smarthistory. You’ve seen the drawing of human evolution showing a procession of monkey, ape, primitive and modern man? Well, somewhere along that line early man could be shown holding a paint brush and a chisel. Mankind has been making art for at least 100,000 years. Why was the earliest art made? What might it have once meant? ""Prehistoric"" refers to a time before writing, which makes these questions particularly difficult to answer—but fascinating to contemplate.",https://cdn.kastatic.org/genfiles/topic-icons/icons/prehistoric_art.jpg-2ba886-128c.jpeg,None,https://www.khanacademy.org/humanities/prehistoric-art,Free,Khan Academy,art history
179,Ancient Mediterranean,"Brought to you by Smarthistory.  3000 B.C.E. - 400 C.E.: The Great Pyramids at Giza, the Parthenon in Athens, the Colosseum in Rome and more.",https://cdn.kastatic.org/genfiles/topic-icons/icons/ancient_art_civilizations.jpg-3a6d36-128c.jpeg,None,https://www.khanacademy.org/humanities/ancient-art-civilizations,Free,Khan Academy,art history
180,Medieval Europe + Byzantine,Brought to you by Smarthistory. 400-1400: This was the period during which Christianity first flourished in Europe. Christianity—and specifically Catholicism in the Latin West—brought with it new ways of seeing the world while often rejecting the traditions and learning of the ancient world.,https://cdn.kastatic.org/genfiles/topic-icons/icons/medieval_world.jpg-3f97b1-128c.jpeg,None,https://www.khanacademy.org/humanities/medieval-world,Free,Khan Academy,art history
181,Art of the Islamic world,Brought to you by Smarthistory. Studying the Art of the Islamic world is challenging—partially because of the large geographic and chronological scope of Islam. Islam has been a major religion and cultural force for over fourteen centuries and continues to be so today. ,https://cdn.kastatic.org/genfiles/topic-icons/icons/art_islam.jpg-df492f-128c.jpeg,None,https://www.khanacademy.org/humanities/art-islam,Free,Khan Academy,art history
182,Europe 1300-1800,"Brought to you by Smarthistory. 1400-1600: In part, the Renaissance was a rebirth of interest in ancient Greek and Roman culture. It was also a period of economic prosperity in Europe—particularly in Italy and in Northern Europe. In 1517 a German theologian and monk, Martin Luther, challenged the authority of the Pope and sparked the Protestant Reformation. By challenging the power of the Church, and asserting the authority of individual conscience, the Reformation laid the foundation for the value that modern culture places on the individual. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/renaissance_reformation.jpg-ae6058-128c.jpeg,None,https://www.khanacademy.org/humanities/renaissance-reformation,Free,Khan Academy,art history
183,Baroque to Neoclassical art in Europe,"Brought to you by Smarthistory. 1600-1800: The monarchs of Europe embraced the most ornate elements of 17th-century art. Rulers invested vast resources on elaborate church facades, stunning, gold-covered chapels and strikingly-realistic painting and sculpture. While in the newly independent Dutch Republic, a market emerged to meet the Protestant tastes of the growing merchant class. By the 18th century, Voltaire, Rousseau and other intellectuals had put forward Enlightenment ideas that would spark an age of revolution and usher in the modern world.",https://cdn.kastatic.org/genfiles/topic-icons/icons/monarchy_enlightenment.jpg-e32857-128c.jpeg,None,https://www.khanacademy.org/humanities/monarchy-enlightenment,Free,Khan Academy,art history
184,Art of the Americas to World War I,Brought to you by Smarthistory. Here's where you'll find art from the ancient cultures of North and South America (and what we call Mesoamerica) through the period of European colonization and independence—and into the 19th century.,https://cdn.kastatic.org/genfiles/topic-icons/icons/art_of_americas.jpg-1cdb22-128c.jpeg,None,https://www.khanacademy.org/humanities/art-americas,Free,Khan Academy,art history
185,Art in 19th century Europe,"Brought to you by Smarthistory. People use the term “modern” in a variety of ways—often very loosely, with a lot of implied associations of new, contemporary, up-to-date, and technological. The development of capitalism, urban culture, technology, and a growing middle class had an enormous impact on art.",https://cdn.kastatic.org/genfiles/topic-icons/icons/becoming_modern.jpg-503fac-128c.jpeg,None,https://www.khanacademy.org/humanities/becoming-modern,Free,Khan Academy,art history
186,Modernisms 1900-1980,"Brought to you by Smarthistory. This is the era of ""isms""—Fauvism, Expressionism, Cubism, Surrealism, Abstract Expressionism and more. The avant-garde is unleashed in the 20th century and explores both abstraction and representation as a means to ""represent"" the radical changes, violence, alienation, and beauty that characterize the century.",https://cdn.kastatic.org/genfiles/topic-icons/icons/art_1010.jpg-457e21-128c.jpeg,None,https://www.khanacademy.org/humanities/art-1010,Free,Khan Academy,art history
187,Global contemporary art,"Brought to you by Smarthistory. 1970-the present: Beuys, Hirst, Hadid and more.",https://cdn.kastatic.org/genfiles/topic-icons/icons/global_culture.jpg-464a94-128c.jpeg,None,https://www.khanacademy.org/humanities/global-culture,Free,Khan Academy,art history
188,Art of Asia,"Brought to you by Smarthistory. This section looks at the art and cultures of Imperial China (for ancient China please see the section, ""Ancient Art and Civilizations"" above), Hindu and Buddhist from South Asia, the great temple and palace complexes of Southeast Asia, and the art and architecture of Korea and Japan. Dr. Beth Harris and Dr. Steven Zucker of Smarthistory together with leading art historians, and our museum partners have created hundreds of short engaging conversational videos and articles, making Khan Academy one of the most accessible and extensive resources for the study of the history of art.",https://cdn.kastatic.org/genfiles/topic-icons/icons/art_asia.jpg-fa0ed5-128c.jpeg,None,https://www.khanacademy.org/humanities/art-asia,Free,Khan Academy,art history
189,Art of Africa,Brought to you by Smarthistory. Discover the diverse arts of Africa from select cultures and time periods on the world’s second largest continent.,https://cdn.kastatic.org/genfiles/topic-icons/icons/art_of_africa.jpg-32a346-128c.jpeg,None,https://www.khanacademy.org/humanities/art-africa,Free,Khan Academy,art history
190,Art of Oceania,"Brought to you by Smarthistory. Oceania is a vast area of the Pacific Ocean that includes the island regions of Melanesia, Micronesia, and Polynesia.",https://cdn.kastatic.org/genfiles/topic-icons/icons/art_of_oceania.jpg-9f8994-128c.jpeg,None,https://www.khanacademy.org/humanities/art-oceania,Free,Khan Academy,art history
191,For teachers,"Brought to you by Smarthistory. Look here for syllabi, sample discussion questions, and other useful resources for teachers.",https://cdn.kastatic.org/genfiles/topic-icons/icons/for_teachers.jpg-510db5-128c.jpeg,None,https://www.khanacademy.org/humanities/art-history-for-teachers,Free,Khan Academy,art history
192,Introduction to grammar,,https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/introduction-to-grammar,Free,Khan Academy,grammar
193,Parts of speech: the noun,"This tutorial covers one of the English parts of speech: the noun.  (More is coming soon!  To quote user @Dhanishthaghosh, ""Patience bears a golden fruit!"")",https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun,Free,Khan Academy,grammar
194,Parts of speech: the verb,,https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-verb,Free,Khan Academy,grammar
195,Parts of speech: the pronoun,,https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-pronoun,Free,Khan Academy,grammar
196,Parts of speech: the modifier,"Modifiers, like adjectives and adverbs, describe nouns and verbs.  Let's get descriptive!  If you understand modifiers, you can learn to express yourself elegantly.",https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-modifier,Free,Khan Academy,grammar
197,Parts of speech: the preposition and the conjunction,"Prepositions (in, out, before, after, with, without, just to name a few) help establish relationships in time, space, and among people and things. Conjunctions unite words; they attach phrases and clauses to one another.  They're super useful! Learn more about these two parts of speech here.",https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-preposition-and-the-conjunction,Free,Khan Academy,grammar
198,Punctuation: the comma and the apostrophe,"Commas are the superheroes of punctuation! They can perform many different functions. Apostrophes are most often used to stand in for missing letters or to show possession. In the rarest of cases, they can be used to form plurals. Let's learn more!",https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/punctuation-the-comma-and-the-apostrophe,Free,Khan Academy,grammar
199,"Punctuation: the colon, semicolon, and more",Colons and semicolons are two valuable pieces of punctuation that separate sentence elements from each other. Learn more about how to use them here!,https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/punctuation-the-colon-semicolon-and-more,Free,Khan Academy,grammar
200,Syntax: sentences and clauses,"Syntax involves arranging words to create logical phrases, clauses, and sentences. This is a big topic, so we'll be covering a lot, including: dependent and independent clauses; simple, complex, compound, and compound-complex sentences; and phrases and clauses.",https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/syntax-sentences-and-clauses,Free,Khan Academy,grammar
201,Syntax: conventions of standard English,"Syntax involves arranging words to create logical phrases, clauses, and sentences. This is a big topic, so we'll be covering a lot, including: subject-verb agreement, fragments, run-ons, and parallel structure.",https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/syntax-conventions-of-standard-english,Free,Khan Academy,grammar
202,Usage and Style,"This is where we'll talk about the conventions of Standard American English that aren't exactly about grammar, but about STYLE.  Harness the power of the sound of language; untangle frequently-confused words and expressions; and learn about why you probably shouldn't wear a tuxedo to a beach party.",https://cdn.kastatic.org/genfiles/topic-icons/icons/grammar.jpg-13dd1a-128c.jpeg,None,https://www.khanacademy.org/humanities/grammar/usage-and-style,Free,Khan Academy,grammar
203,Music basics,The basic principles of music are explained in plain language with helpful graphics and live video demonstrations. If you have ever wondered “How does music work?” than you’ll find answers here. Presented by the All-Star Orchestra music director Gerard Schwarz.,https://cdn.kastatic.org/genfiles/topic-icons/icons/music_basics.jpg-e1acf7-128c.jpeg,None,https://www.khanacademy.org/humanities/music/music-basics2,Free,Khan Academy,music
204,Masterpieces old and new,"Discover what makes a masterpiece by learning how classical works are composed. Music Director Gerard Schwarz explains the history, context and compositional techniques behind famous orchestral works, from Beethoven to leading composers of the present day.",https://cdn.kastatic.org/genfiles/topic-icons/icons/masterpieces_old_and_new.jpg-bb0e57-128c.jpeg,None,https://www.khanacademy.org/humanities/music/music-masterpieces-old-new,Free,Khan Academy,music
205,Instruments of the orchestra,Learn about the different instruments of the orchestra as they are presented and demonstrated by  principal players from famous symphony orchestras.,https://cdn.kastatic.org/genfiles/topic-icons/icons/instruments_of_the_orchestra.jpg-444171-128c.jpeg,None,https://www.khanacademy.org/humanities/music/music-instruments-orchestra,Free,Khan Academy,music
206,Intro to JS: Drawing & Animation,Learn how to use the JavaScript language and the ProcessingJS library to create fun drawings and animations. ,https://cdn.kastatic.org/genfiles/topic-icons/icons/programming.png-e13016-128c.png,None,https://www.khanacademy.org/computing/computer-programming/programming,Free,Khan Academy,computer programming
207,Intro to HTML/CSS: Making webpages,"Learn how to use HTML and CSS to make webpages. HTML is the markup language that you surround content with, to tell browsers about headings, lists, tables, etc. CSS is the stylesheet language that you style the page with, to tell browsers to change the color, font, layout, and more.",https://cdn.kastatic.org/genfiles/topic-icons/icons/markup.png-8a1e75-128c.png,None,https://www.khanacademy.org/computing/computer-programming/html-css,Free,Khan Academy,computer programming
208,Intro to SQL: Querying and managing data,"Learn how to use SQL to store, query, and manipulate data. SQL is a special-purpose programming language designed for managing data in a relational database, and is used by a huge number of apps and organizations.",https://cdn.kastatic.org/genfiles/topic-icons/icons/databases.png-776f54-128c.png,None,https://www.khanacademy.org/computing/computer-programming/sql,Free,Khan Academy,computer programming
209,Advanced JS: Games & Visualizations,"Once you've taken Intro to JS, go here to learn techniques to help you make multi-scene programs, 3d graphics, button menus, and scored games.",https://cdn.kastatic.org/genfiles/topic-icons/icons/computing.png-f455e2-128c.png,None,https://www.khanacademy.org/computing/computer-programming/programming-games-visualizations,Free,Khan Academy,computer programming
210,Advanced JS: Natural Simulations,"Once you've taken Intro to JS, you can go through this course to learn how to combine JS, ProcessingJS, and mathematical concepts to simulate nature in your programs.  This course is a derivative of ""The Nature of Code"" book by Daniel Shiffman (natureofcode.com), used under CC BY-NC.",https://cdn.kastatic.org/genfiles/topic-icons/icons/simulations.png-955b92-128c.png,None,https://www.khanacademy.org/computing/computer-programming/programming-natural-simulations,Free,Khan Academy,computer programming
211,HTML/JS: Making webpages interactive,"Once you've taken both Intro to JS and Intro to HTML/CSS, take this course to learn how use HTML/CSS with the JavaScript DOM API to make your webpages interactive.",https://cdn.kastatic.org/genfiles/topic-icons/icons/markup.png-8a1e75-128c.png,None,https://www.khanacademy.org/computing/computer-programming/html-css-js,Free,Khan Academy,computer programming
212,HTML/JS: Making webpages interactive with jQuery,"Learn how to use jQuery, the world's most popular JS browser library, to add interactivity to your webpages.",https://cdn.kastatic.org/genfiles/topic-icons/icons/markup.png-8a1e75-128c.png,None,https://www.khanacademy.org/computing/computer-programming/html-js-jquery,Free,Khan Academy,computer programming
213,Meet the professional,What can you do with computer science and programming skills once you've learned them? We've invited people from all around the world and the industry to introduce themselves to you. Find out how diverse our field can be!,https://cdn.kastatic.org/genfiles/topic-icons/icons/programming.png-e13016-128c.png,None,https://www.khanacademy.org/computing/computer-programming/meet-the-computing-professional,Free,Khan Academy,computer programming
214,Algorithms,"We've partnered with Dartmouth college professors Tom Cormen and Devin Balkcom to teach introductory computer science algorithms, including searching, sorting, recursion, and graph theory. Learn with a combination of articles, visualizations, quizzes, and coding challenges.",https://cdn.kastatic.org/genfiles/topic-icons/icons/algorithms.png-a4492d-128c.png,None,https://www.khanacademy.org/computing/computer-science/algorithms,Free,Khan Academy,computer science
215,Journey into cryptography,How have humans protected their secret messages through history? What has changed today?,https://cdn.kastatic.org/genfiles/topic-icons/icons/security.png-3de9d9-128c.png,None,https://www.khanacademy.org/computing/computer-science/cryptography,Free,Khan Academy,computer science
216,Journey into information theory,"We've always been communicating.... as we moved from signal fires, to alphabets & electricity the problems remained the same.",https://cdn.kastatic.org/genfiles/topic-icons/icons/information_theory.png-60d575-128c.png,None,https://www.khanacademy.org/computing/computer-science/informationtheory,Free,Khan Academy,computer science
217,How Computers Work,"Thanks to our partners at Code.org, you can learn how computers work - everything from what makes something a computer in the first place, how computers use electrical circuits to store and process information, and the ways hardware and software work together. ",https://cdn.kastatic.org/genfiles/topic-icons/icons/information_theory.png-60d575-128c.png,None,https://www.khanacademy.org/computing/computer-science/how-computers-work2,Free,Khan Academy,computer science
218,Internet 101,"Thanks to our partners at Code.org, you can learn how the internet works - everything from WiFi and IP addresses to cybersecurity and crime.",https://cdn.kastatic.org/genfiles/topic-icons/icons/internet_101.png-2da91d-128c.png,None,https://www.khanacademy.org/computing/computer-science/internet-intro,Free,Khan Academy,computer science
