,Course,Description,Image,Instructor,Link,Price,PrimaryCategory,PrimaryCategoryID,PrimarySubcategory,PrimarySubcategoryID,Rating
184,Ultimate Web Designer & Developer Course: Build 23 Projects!,Become a Full-Stack Developer - Learn Everything from Design to Front & Back-End Programming.,https://udemy-images.udemy.com/course/125_H/446134_383c_2.jpg,Brad Hussey,/web-developer-course/,$199.99,Development,288,Web Development,8,4.56
185,The Ultimate Guide to Game Development with Unity,Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide,https://udemy-images.udemy.com/course/125_H/1328572_b05d_3.jpg,Jonathan Weinberger,/the-ultimate-guide-to-game-development-with-unity/,$194.99,Development,288,Game Development,14,4.7
186,AWS CloudFormation Master Class,Write Complete AWS CloudFormation Templates using YAML. Learn all the Recent Cloud Formation Features,https://udemy-images.udemy.com/course/125_H/1362052_0bbe_3.jpg,Stephane Maarek,/aws-cloudformation-master-class/,$49.99,IT & Software,294,Other,140,4.64
187,Cryptocurrency Investing: Buy & Trade Bitcoin & Altcoins,"Cryptocurrency investing for beginners: How to buy Bitcoin, Ethereum, Litecoin & other Cryptocurrency. Buy, Sell, Invest",https://udemy-images.udemy.com/course/125_H/1329878_2e33.jpg,Life Progression Project,/how-to-buy-cryptocurrency-bitcoin-investing-for-beginners/,$94.99,Personal Development,296,Personal Transformation,142,4.58
188,Deep Learning Prerequisites: Logistic Regression in Python,Data science techniques for professionals and students - learn the theory behind logistic regression and code in Python,https://udemy-images.udemy.com/course/125_H/659368_e64f.jpg,Lazy Programmer Inc.,/data-science-logistic-regression-in-python/,$119.99,Academics,300,Math & Science,378,4.61
189,iOS 9 and Swift 2: From Beginner to Paid Professional™,The BEST online iOS 9 Swift 2 course online. Lets learn iOS 9 & Swift 2,https://udemy-images.udemy.com/course/125_H/555100_bdbe_5.jpg,Mark Price,/ios9-swift/,$44.99,Development,288,Mobile Apps,10,4.62
190,Become a SuperLearner V2: Learn Speed Reading & Boost Memory,Learn faster & more effectively by harnessing the skills of the world's fastest readers & memory record-holders. NEW V2!,https://udemy-images.udemy.com/course/125_H/591930_e9a5_2.jpg,Jonathan Levi,/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,$144.99,Personal Development,296,Memory & Study Skills,172,4.51
191,Learn to Code Making Games - Complete C# Unity Developer 2.0,Game development & design. Learn C# using the NEW Unity 2017. Your first 2D & 3D Unity games for web & mobile.,https://udemy-images.udemy.com/course/125_H/1178124_76bb_5.jpg,Ben Tristem,/unitycourse2/,$194.99,Development,288,Game Development,14,4.77
192,Progressive Web Apps (PWA) - The Complete Guide,"Build a Progressive Web App (PWA) that feels like an iOS & Android App, using Device Camera, Push Notifications and more",https://udemy-images.udemy.com/course/125_H/1329100_571a.jpg,Maximilian Schwarzmüller,/progressive-web-app-pwa-the-complete-guide/,$149.99,Development,288,Web Development,8,4.75
193,An Entire MBA in 1 Course:Award Winning Business School Prof,** #1 Best Selling Business Course on Udemy! ** Everything You Need to Know About Business from Start-up to IPO,https://udemy-images.udemy.com/course/125_H/637930_9a22_16.jpg,Chris Haroun,/an-entire-mba-in-1-courseaward-winning-business-school-prof/,$199.99,Business,268,Entrepreneurship,26,4.44
194,Cooper Crash Course: Design Thinking in 3 Steps,"Understand your audience, envision a creative solution, and test your prototype by award-winning UX design firm Cooper",https://udemy-images.udemy.com/course/125_H/1065056_41ed_4.jpg,Cooper,/cooper-crash-course/,$194.99,Design,269,User Experience,114,4.46
195,Spring & Hibernate for Beginners,"Spring Framework 5: Learn Spring Core, Spring AOP, Spring MVC, Spring Security, Hibernate - Most Popular Spring 5 Course",https://udemy-images.udemy.com/course/125_H/647428_be28_6.jpg,Chad Darby,/spring-hibernate-tutorial/,$199.99,Development,288,Programming Languages,12,4.67
196,Seth Godin on Presenting to Persuade,"Build your business, make your point, sell your idea",https://udemy-images.udemy.com/course/125_H/1101380_4d44.jpg,Seth Godin,/seth-godin-on-powerful-presentations/,$29.99,Marketing,290,Marketing Fundamentals,70,4.37
197,React 16 - The Complete Guide (incl. React Router 4 & Redux),"Dive in and learn React from scratch! Learn Reactjs, Redux, React Routing, Animations, Next.js basics and way more!",https://udemy-images.udemy.com/course/125_H/1362070_b9a1_2.jpg,Maximilian Schwarzmüller,/react-the-complete-guide-incl-redux/,$189.99,Development,288,Programming Languages,12,4.76
198,Shader Development from Scratch for Unity with Cg,Learn to program the graphics pipeline with Unity's Shaderlab for creating unique visual surfaces for game objects.,https://udemy-images.udemy.com/course/125_H/1382482_02db.jpg,Penny de Byl,/unity-shaders/,$149.99,Development,288,Game Development,14,4.71
199,ITIL v3 Foundations: Complete ITIL Exam Preparation Course,"Your complete resource to passing the ITIL v3 Foundations exam on the first attempt, include 2 realistic practice exams!",https://udemy-images.udemy.com/course/125_H/1076296_5ea6_4.jpg,Jason Dion,/itilfoundations/,$199.99,IT & Software,294,IT Certification,132,4.67
